target,discovered,wrong letters,number of hits,lives remaining,game won
fellest,"['f', 'e', 'l', 'l', 'e', 's', 't']","['i', 'a', 'o', 'r', 'u', 'd', 'n', 'h', 'p']",7,1,True
expiation,"['e', '_', 'p', 'i', 'a', 't', 'i', 'o', 'n']","['s', 'r', 'l', 'd', 'g', 'c', 'm', 'u', 'v', 'h']",8,0,False
dubious,"['d', 'u', 'b', 'i', 'o', 'u', 's']","['e', 'a', 'n', 't', 'l', 'r', 'h', 'm', 'c']",7,1,True
welder,"['w', 'e', 'l', 'd', 'e', 'r']","['s', 'a', 'i', 'o', 'u', 't', 'n', 'p', 'y']",6,1,True
renaissances,"['r', 'e', 'n', 'a', 'i', 's', 's', 'a', 'n', 'c', 'e', 's']","['t', 'o', 'l']",12,7,True
fends,"['_', 'e', 'n', 'd', 's']","['i', 'a', 'o', 'u', 'r', 'l', 't', 'p', 'c', 'y']",4,0,False
correlates,"['c', 'o', 'r', 'r', 'e', 'l', 'a', 't', 'e', 's']","['i', 'n']",10,8,True
remoteness,"['r', 'e', 'm', 'o', 't', 'e', 'n', 'e', 's', 's']","['i', 'a', 'u', 'l', 'c', 'h', 'p', 'd']",10,2,True
identifying,"['i', 'd', 'e', 'n', 't', 'i', 'f', 'y', 'i', 'n', 'g']","['s', 'a', 'r', 'o', 'l', 'c', 'h', 'm', 'p']",11,1,True
gazetted,"['g', 'a', '_', 'e', 't', 't', 'e', 'd']","['s', 'i', 'r', 'l', 'n', 'o', 'c', 'b', 'm', 'f']",7,0,False
browses,"['b', 'r', 'o', 'w', 's', 'e', 's']","['i', 'a', 'u', 't', 'd', 'l', 'n', 'p', 'c']",7,1,True
unadorned,"['u', 'n', 'a', 'd', 'o', 'r', 'n', 'e', 'd']","['s', 'i', 't', 'l', 'c', 'g', 'm']",9,3,True
newsstand,"['n', 'e', '_', 's', 's', 't', 'a', 'n', 'd']","['i', 'r', 'o', 'l', 'c', 'u', 'm', 'h', 'p', 'b']",8,0,False
unparalleled,"['u', 'n', 'p', 'a', 'r', 'a', 'l', 'l', 'e', 'l', 'e', 'd']","['s', 'i', 'o', 't', 'b', 'h']",12,4,True
safest,"['s', 'a', '_', 'e', 's', 't']","['i', 'r', 'l', 'd', 'o', 'u', 'n', 'h', 'p', 'm']",5,0,False
peculiarly,"['p', 'e', 'c', 'u', 'l', 'i', 'a', 'r', 'l', 'y']","['s', 'n', 't', 'o', 'd', 'b', 'm', 'h']",10,2,True
mounts,"['_', 'o', 'u', 'n', 't', 's']","['e', 'a', 'i', 'r', 'l', 'c', 'h', 'p', 'b', 'd']",5,0,False
acerbity,"['a', 'c', 'e', 'r', 'b', 'i', 't', '_']","['s', 'n', 'l', 'd', 'o', 'h', 'p', 'm', 'f', 'g']",7,0,False
instep,"['i', 'n', 's', 't', 'e', 'p']","['a', 'o', 'r', 'l', 'd', 'u', 'h', 'g', 'c']",6,1,True
dunces,"['d', 'u', 'n', 'c', 'e', 's']","['i', 'a', 'o', 'r', 'l', 't', 'p']",6,3,True
liturgy,"['l', 'i', 't', 'u', 'r', 'g', 'y']","['e', 'a', 'o', 'n', 's', 'c', 'f', 'd']",7,2,True
saves,"['s', 'a', '_', 'e', 's']","['i', 'o', 'r', 'l', 't', 'd', 'n', 'u', 'p', 'c']",4,0,False
misapprehends,"['m', 'i', 's', 'a', 'p', 'p', 'r', 'e', 'h', 'e', 'n', 'd', 's']","['t', 'o', 'c', 'l']",13,6,True
qualified,"['_', 'u', 'a', 'l', 'i', 'f', 'i', 'e', 'd']","['s', 'n', 'r', 't', 'c', 'm', 'o', 'g', 'y', 'b']",8,0,False
overhangs,"['o', '_', 'e', 'r', 'h', 'a', 'n', 'g', 's']","['i', 't', 'l', 'd', 'c', 'm', 'p', 'b', 'w', 'u']",8,0,False
leopard,"['l', 'e', 'o', 'p', 'a', 'r', 'd']","['s', 'i', 't', 'n', 'c', 'b']",7,4,True
paper,"['_', 'a', '_', 'e', 'r']","['s', 'o', 'i', 'l', 'd', 't', 'y', 'c', 'n', 'u']",3,0,False
entwines,"['e', 'n', 't', '_', 'i', 'n', 'e', 's']","['a', 'r', 'o', 'l', 'd', 'g', 'c', 'u', 'h', 'p']",7,0,False
trouncing,"['t', 'r', 'o', 'u', 'n', 'c', 'i', 'n', 'g']","['e', 'a', 's', 'l']",9,6,True
splices,"['s', 'p', 'l', 'i', 'c', 'e', 's']","['a', 'r', 'n', 'd', 't', 'o', 'u', 'h', 'g']",7,1,True
pronged,"['p', 'r', 'o', 'n', 'g', 'e', 'd']","['s', 'i', 'a', 'u', 't', 'l', 'c', 'w']",7,2,True
heliotrope,"['h', 'e', 'l', 'i', 'o', 't', 'r', 'o', 'p', 'e']","['s', 'n', 'a', 'd', 'c', 'u']",10,4,True
piggybacked,"['p', 'i', 'g', 'g', 'y', 'b', 'a', 'c', 'k', 'e', 'd']","['s', 'n', 'r', 'l', 't', 'f']",11,4,True
expects,"['e', '_', 'p', 'e', '_', 't', 's']","['i', 'a', 'o', 'r', 'u', 'd', 'l', 'n', 'h', 'm']",5,0,False
furthermost,"['f', 'u', 'r', 't', 'h', 'e', 'r', 'm', 'o', 's', 't']","['i', 'a', 'n', 'l', 'p', 'c', 'd', 'g']",11,2,True
eyelids,"['e', '_', 'e', 'l', 'i', 'd', 's']","['a', 'r', 'n', 'o', 't', 'u', 'c', 'p', 'h', 'g']",6,0,False
yarns,"['y', 'a', 'r', 'n', 's']","['e', 'o', 'i', 'u', 't', 'l']",5,4,True
wastrels,"['_', 'a', 's', 't', 'r', 'e', 'l', 's']","['i', 'o', 'd', 'u', 'n', 'c', 'p', 'b', 'h', 'g']",7,0,False
announced,"['a', 'n', 'n', 'o', 'u', 'n', 'c', 'e', 'd']","['s', 'i', 'r', 'l', 't', 'h']",9,4,True
