target,discovered,wrong letters,number of hits,lives remaining,game won
guided,"['g', '_', 'i', 'd', 'e', 'd']","['a', 'b', 'c', 'f', 'h', 'j', 'k', 'l', 'm', 'n']",5,0,False
ornateness,"['_', '_', '_', 'a', '_', 'e', '_', 'e', '_', '_']","['b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k', 'l']",3,0,False
wafers,"['_', 'a', 'f', 'e', '_', '_']","['b', 'c', 'd', 'g', 'h', 'i', 'j', 'k', 'l', 'm']",3,0,False
investigating,"['i', 'n', '_', 'e', '_', '_', 'i', 'g', 'a', '_', 'i', 'n', 'g']","['b', 'c', 'd', 'f', 'h', 'j', 'k', 'l', 'm', 'o']",9,0,False
calculations,"['c', 'a', 'l', 'c', '_', 'l', 'a', '_', 'i', 'o', 'n', '_']","['b', 'd', 'e', 'f', 'g', 'h', 'j', 'k', 'm', 'p']",9,0,False
liquor,"['_', 'i', '_', '_', '_', '_']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'j', 'k']",1,0,False
keenest,"['k', 'e', 'e', '_', 'e', '_', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'l']",4,0,False
quoit,"['_', '_', '_', 'i', '_']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'j', 'k']",1,0,False
sherbets,"['_', 'h', 'e', '_', 'b', 'e', '_', '_']","['a', 'c', 'd', 'f', 'g', 'i', 'j', 'k', 'l', 'm']",4,0,False
snag,"['_', '_', 'a', 'g']","['b', 'c', 'd', 'e', 'f', 'h', 'i', 'j', 'k', 'l']",2,0,False
souring,"['_', '_', '_', '_', 'i', '_', 'g']","['a', 'b', 'c', 'd', 'e', 'f', 'h', 'j', 'k', 'l']",2,0,False
rationales,"['_', 'a', '_', 'i', 'o', 'n', 'a', 'l', 'e', '_']","['b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'm', 'p']",7,0,False
grouting,"['g', '_', '_', '_', '_', 'i', '_', 'g']","['a', 'b', 'c', 'd', 'e', 'f', 'h', 'j', 'k', 'l']",3,0,False
crusades,"['c', '_', '_', '_', 'a', 'd', 'e', '_']","['b', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'm', 'n']",4,0,False
disinherits,"['d', 'i', '_', 'i', 'n', 'h', 'e', '_', 'i', '_', '_']","['a', 'b', 'c', 'f', 'g', 'j', 'k', 'l', 'm', 'o']",7,0,False
